"","activity"
"2678","WALKING"
"2679","WALKING"
"2680","WALKING"
"2681","WALKING"
"2682","WALKING"
"2683","WALKING"
"2684","WALKING"
"2685","WALKING"
"2686","WALKING"
"2687","WALKING"
"2688","WALKING"
"2689","WALKING"
"2690","WALKING"
"2691","WALKING"
"2692","WALKING"
"2693","WALKING"
"2694","WALKING"
"2695","WALKING"
"2696","WALKING"
"2697","WALKING"
"2698","WALKING_DOWNSTAIRS"
"2699","WALKING_DOWNSTAIRS"
"2700","WALKING_DOWNSTAIRS"
"2701","WALKING_DOWNSTAIRS"
"2702","WALKING_DOWNSTAIRS"
"2703","WALKING_DOWNSTAIRS"
"2704","WALKING_DOWNSTAIRS"
"2705","WALKING_DOWNSTAIRS"
"2706","WALKING_DOWNSTAIRS"
"2707","WALKING_DOWNSTAIRS"
"2708","WALKING_DOWNSTAIRS"
"2709","WALKING_DOWNSTAIRS"
"2710","WALKING_DOWNSTAIRS"
"2711","WALKING_DOWNSTAIRS"
"2712","WALKING_DOWNSTAIRS"
"2713","WALKING_DOWNSTAIRS"
"2714","WALKING_DOWNSTAIRS"
"2715","WALKING_DOWNSTAIRS"
"2716","WALKING_DOWNSTAIRS"
"2717","WALKING_DOWNSTAIRS"
"2718","WALKING_DOWNSTAIRS"
"2719","WALKING_DOWNSTAIRS"
"2720","WALKING_DOWNSTAIRS"
"2721","WALKING_DOWNSTAIRS"
"2722","WALKING_DOWNSTAIRS"
"2723","WALKING_DOWNSTAIRS"
"2724","WALKING_DOWNSTAIRS"
"2725","WALKING_UPSTAIRS"
"2726","WALKING_UPSTAIRS"
"2727","WALKING_UPSTAIRS"
"2728","WALKING_UPSTAIRS"
"2729","WALKING_UPSTAIRS"
"2730","WALKING_UPSTAIRS"
"2731","WALKING_UPSTAIRS"
"2732","WALKING_UPSTAIRS"
"2733","WALKING_UPSTAIRS"
"2734","WALKING_UPSTAIRS"
"2735","WALKING_UPSTAIRS"
"2736","WALKING_UPSTAIRS"
"2737","WALKING_UPSTAIRS"
"2738","WALKING_UPSTAIRS"
"2739","WALKING_UPSTAIRS"
"2740","WALKING_UPSTAIRS"
"2741","WALKING_UPSTAIRS"
"2742","WALKING_UPSTAIRS"
"2743","WALKING_UPSTAIRS"
"2744","WALKING_UPSTAIRS"
"2745","WALKING_UPSTAIRS"
"2746","WALKING_UPSTAIRS"
"2747","WALKING_UPSTAIRS"
"2748","WALKING_UPSTAIRS"
"2749","WALKING_UPSTAIRS"
"2750","WALKING_UPSTAIRS"
"2751","WALKING_UPSTAIRS"
"2752","WALKING_UPSTAIRS"
"2753","WALKING_UPSTAIRS"
"2754","STANDING"
"2755","STANDING"
"2756","STANDING"
"2757","STANDING"
"2758","STANDING"
"2759","STANDING"
"2760","STANDING"
"2761","STANDING"
"2762","STANDING"
"2763","STANDING"
"2764","STANDING"
"2765","STANDING"
"2766","STANDING"
"2767","STANDING"
"2768","STANDING"
"2769","STANDING"
"2770","STANDING"
"2771","STANDING"
"2772","STANDING"
"2773","STANDING"
"2774","STANDING"
"2775","STANDING"
"2776","STANDING"
"2777","STANDING"
"2778","STANDING"
"2779","STANDING"
"2780","STANDING"
"2781","STANDING"
"2782","STANDING"
"2783","STANDING"
"2784","STANDING"
"2785","STANDING"
"2786","STANDING"
"2787","STANDING"
"2788","STANDING"
"2789","STANDING"
"2790","SITTING"
"2791","SITTING"
"2792","SITTING"
"2793","SITTING"
"2794","SITTING"
"2795","SITTING"
"2796","SITTING"
"2797","SITTING"
"2798","SITTING"
"2799","SITTING"
"2800","SITTING"
"2801","SITTING"
"2802","SITTING"
"2803","SITTING"
"2804","SITTING"
"2805","SITTING"
"2806","SITTING"
"2807","SITTING"
"2808","SITTING"
"2809","SITTING"
"2810","SITTING"
"2811","SITTING"
"2812","SITTING"
"2813","SITTING"
"2814","SITTING"
"2815","SITTING"
"2816","SITTING"
"2817","SITTING"
"2818","SITTING"
"2819","SITTING"
"2820","SITTING"
"2821","SITTING"
"2822","SITTING"
"2823","SITTING"
"2824","LAYING"
"2825","LAYING"
"2826","LAYING"
"2827","LAYING"
"2828","LAYING"
"2829","LAYING"
"2830","LAYING"
"2831","LAYING"
"2832","LAYING"
"2833","LAYING"
"2834","LAYING"
"2835","LAYING"
"2836","LAYING"
"2837","LAYING"
"2838","LAYING"
"2839","LAYING"
"2840","LAYING"
"2841","LAYING"
"2842","LAYING"
"2843","LAYING"
"2844","LAYING"
"2845","LAYING"
"2846","LAYING"
"2847","LAYING"
"2848","LAYING"
"2849","LAYING"
"2850","LAYING"
"2851","LAYING"
"2852","LAYING"
"2853","LAYING"
"2854","LAYING"
"2855","LAYING"
"2856","LAYING"
"2857","LAYING"
"2858","LAYING"
"2859","LAYING"
"2860","WALKING"
"2861","WALKING"
"2862","WALKING"
"2863","WALKING"
"2864","WALKING"
"2865","WALKING"
"2866","WALKING"
"2867","WALKING"
"2868","WALKING"
"2869","WALKING"
"2870","WALKING"
"2871","WALKING"
"2872","WALKING"
"2873","WALKING"
"2874","WALKING"
"2875","WALKING"
"2876","WALKING"
"2877","WALKING"
"2878","WALKING"
"2879","WALKING"
"2880","WALKING"
"2881","WALKING"
"2882","WALKING"
"2883","WALKING"
"2884","WALKING"
"2885","WALKING"
"2886","WALKING"
"2887","WALKING"
"2888","WALKING"
"2889","WALKING"
"2890","WALKING_DOWNSTAIRS"
"2891","WALKING_DOWNSTAIRS"
"2892","WALKING_DOWNSTAIRS"
"2893","WALKING_DOWNSTAIRS"
"2894","WALKING_DOWNSTAIRS"
"2895","WALKING_DOWNSTAIRS"
"2896","WALKING_DOWNSTAIRS"
"2897","WALKING_DOWNSTAIRS"
"2898","WALKING_DOWNSTAIRS"
"2899","WALKING_DOWNSTAIRS"
"2900","WALKING_DOWNSTAIRS"
"2901","WALKING_DOWNSTAIRS"
"2902","WALKING_DOWNSTAIRS"
"2903","WALKING_DOWNSTAIRS"
"2904","WALKING_DOWNSTAIRS"
"2905","WALKING_DOWNSTAIRS"
"2906","WALKING_DOWNSTAIRS"
"2907","WALKING_DOWNSTAIRS"
"2908","WALKING_DOWNSTAIRS"
"2909","WALKING_UPSTAIRS"
"2910","WALKING_UPSTAIRS"
"2911","WALKING_UPSTAIRS"
"2912","WALKING_UPSTAIRS"
"2913","WALKING_UPSTAIRS"
"2914","WALKING_UPSTAIRS"
"2915","WALKING_UPSTAIRS"
"2916","WALKING_UPSTAIRS"
"2917","WALKING_UPSTAIRS"
"2918","WALKING_UPSTAIRS"
"2919","WALKING_UPSTAIRS"
"2920","WALKING_UPSTAIRS"
"2921","WALKING_UPSTAIRS"
"2922","WALKING_UPSTAIRS"
"2923","WALKING_UPSTAIRS"
"2924","WALKING_UPSTAIRS"
"2925","WALKING_UPSTAIRS"
"2926","WALKING_UPSTAIRS"
"2927","WALKING_UPSTAIRS"
"2928","WALKING_UPSTAIRS"
"2929","WALKING_DOWNSTAIRS"
"2930","WALKING_DOWNSTAIRS"
"2931","WALKING_DOWNSTAIRS"
"2932","WALKING_DOWNSTAIRS"
"2933","WALKING_DOWNSTAIRS"
"2934","WALKING_DOWNSTAIRS"
"2935","WALKING_DOWNSTAIRS"
"2936","WALKING_DOWNSTAIRS"
"2937","WALKING_DOWNSTAIRS"
"2938","WALKING_UPSTAIRS"
"2939","WALKING_UPSTAIRS"
"2940","WALKING_UPSTAIRS"
"2941","WALKING_UPSTAIRS"
"2942","WALKING_UPSTAIRS"
"2943","WALKING_UPSTAIRS"
"2944","WALKING_UPSTAIRS"
"2945","WALKING_UPSTAIRS"
"2946","WALKING_UPSTAIRS"
"2947","WALKING_UPSTAIRS"
"2948","STANDING"
"2949","STANDING"
"2950","STANDING"
"2951","STANDING"
"2952","STANDING"
"2953","STANDING"
"2954","STANDING"
"2955","STANDING"
"2956","STANDING"
"2957","STANDING"
"2958","STANDING"
"2959","STANDING"
"2960","STANDING"
"2961","STANDING"
"2962","STANDING"
"2963","STANDING"
"2964","STANDING"
"2965","STANDING"
"2966","STANDING"
"2967","STANDING"
"2968","STANDING"
"2969","STANDING"
"2970","STANDING"
"2971","STANDING"
"2972","STANDING"
"2973","STANDING"
"2974","STANDING"
"2975","SITTING"
"2976","SITTING"
"2977","SITTING"
"2978","SITTING"
"2979","SITTING"
"2980","SITTING"
"2981","SITTING"
"2982","SITTING"
"2983","SITTING"
"2984","SITTING"
"2985","SITTING"
"2986","SITTING"
"2987","SITTING"
"2988","SITTING"
"2989","SITTING"
"2990","SITTING"
"2991","SITTING"
"2992","SITTING"
"2993","SITTING"
"2994","SITTING"
"2995","SITTING"
"2996","SITTING"
"2997","SITTING"
"2998","SITTING"
"2999","LAYING"
"3000","LAYING"
"3001","LAYING"
"3002","LAYING"
"3003","LAYING"
"3004","LAYING"
"3005","LAYING"
"3006","LAYING"
"3007","LAYING"
"3008","LAYING"
"3009","LAYING"
"3010","LAYING"
"3011","LAYING"
"3012","LAYING"
"3013","LAYING"
"3014","LAYING"
"3015","LAYING"
"3016","LAYING"
"3017","LAYING"
"3018","LAYING"
"3019","LAYING"
"3020","LAYING"
"3021","LAYING"
"3022","LAYING"
"3023","LAYING"
"3024","LAYING"
"3025","LAYING"
"3026","WALKING"
"3027","WALKING"
"3028","WALKING"
"3029","WALKING"
"3030","WALKING"
"3031","WALKING"
"3032","WALKING"
"3033","WALKING"
"3034","WALKING"
"3035","WALKING"
"3036","WALKING"
"3037","WALKING"
"3038","WALKING"
"3039","WALKING"
"3040","WALKING"
"3041","WALKING"
"3042","WALKING"
"3043","WALKING"
"3044","WALKING"
"3045","WALKING"
"3046","WALKING"
"3047","WALKING"
"3048","WALKING"
"3049","WALKING"
"3050","WALKING"
"3051","WALKING"
"3052","WALKING"
"3053","WALKING"
"3054","WALKING"
"3055","WALKING"
"3056","WALKING"
"3057","WALKING"
"3058","WALKING"
"3059","WALKING"
"3060","WALKING"
"3061","WALKING"
"3062","WALKING"
"3063","WALKING"
"3064","WALKING"
"3065","WALKING"
"3066","WALKING"
"3067","WALKING"
"3068","WALKING"
"3069","WALKING"
"3070","WALKING"
"3071","WALKING"
"3072","WALKING"
"3073","WALKING_DOWNSTAIRS"
"3074","WALKING_DOWNSTAIRS"
"3075","WALKING_DOWNSTAIRS"
"3076","WALKING_DOWNSTAIRS"
"3077","WALKING_DOWNSTAIRS"
"3078","WALKING_DOWNSTAIRS"
"3079","WALKING_DOWNSTAIRS"
"3080","WALKING_DOWNSTAIRS"
"3081","WALKING_DOWNSTAIRS"
"3082","WALKING_DOWNSTAIRS"
"3083","WALKING_DOWNSTAIRS"
"3084","WALKING_DOWNSTAIRS"
"3085","WALKING_DOWNSTAIRS"
"3086","WALKING_DOWNSTAIRS"
"3087","WALKING_DOWNSTAIRS"
"3088","WALKING_DOWNSTAIRS"
"3089","WALKING_DOWNSTAIRS"
"3090","WALKING_DOWNSTAIRS"
"3091","WALKING_DOWNSTAIRS"
"3092","WALKING_DOWNSTAIRS"
"3093","WALKING_DOWNSTAIRS"
"3094","WALKING_DOWNSTAIRS"
"3095","WALKING_DOWNSTAIRS"
"3096","WALKING_DOWNSTAIRS"
"3097","WALKING_DOWNSTAIRS"
"3098","WALKING_UPSTAIRS"
"3099","WALKING_UPSTAIRS"
"3100","WALKING_UPSTAIRS"
"3101","WALKING_UPSTAIRS"
"3102","WALKING_UPSTAIRS"
"3103","WALKING_UPSTAIRS"
"3104","WALKING_UPSTAIRS"
"3105","WALKING_UPSTAIRS"
"3106","WALKING_UPSTAIRS"
"3107","WALKING_UPSTAIRS"
"3108","WALKING_UPSTAIRS"
"3109","WALKING_UPSTAIRS"
"3110","WALKING_UPSTAIRS"
"3111","WALKING_UPSTAIRS"
"3112","WALKING_UPSTAIRS"
"3113","WALKING_UPSTAIRS"
"3114","WALKING_UPSTAIRS"
"3115","WALKING_UPSTAIRS"
"3116","WALKING_UPSTAIRS"
"3117","WALKING_UPSTAIRS"
"3118","WALKING_UPSTAIRS"
"3119","WALKING_UPSTAIRS"
"3120","WALKING_UPSTAIRS"
"3121","WALKING_UPSTAIRS"
"3122","WALKING_UPSTAIRS"
"3123","WALKING_UPSTAIRS"
"3124","STANDING"
"3125","STANDING"
"3126","STANDING"
"3127","STANDING"
"3128","STANDING"
"3129","STANDING"
"3130","STANDING"
"3131","STANDING"
"3132","STANDING"
"3133","STANDING"
"3134","STANDING"
"3135","STANDING"
"3136","STANDING"
"3137","STANDING"
"3138","STANDING"
"3139","STANDING"
"3140","STANDING"
"3141","STANDING"
"3142","STANDING"
"3143","STANDING"
"3144","STANDING"
"3145","STANDING"
"3146","STANDING"
"3147","STANDING"
"3148","STANDING"
"3149","STANDING"
"3150","SITTING"
"3151","SITTING"
"3152","SITTING"
"3153","SITTING"
"3154","SITTING"
"3155","SITTING"
"3156","SITTING"
"3157","SITTING"
"3158","SITTING"
"3159","SITTING"
"3160","SITTING"
"3161","LAYING"
"3162","LAYING"
"3163","LAYING"
"3164","LAYING"
"3165","LAYING"
"3166","LAYING"
"3167","LAYING"
"3168","LAYING"
"3169","LAYING"
"3170","LAYING"
"3171","LAYING"
"3172","LAYING"
"3173","SITTING"
"3174","SITTING"
"3175","SITTING"
"3176","SITTING"
"3177","SITTING"
"3178","SITTING"
"3179","SITTING"
"3180","SITTING"
"3181","SITTING"
"3182","SITTING"
"3183","SITTING"
"3184","SITTING"
"3185","LAYING"
"3186","LAYING"
"3187","LAYING"
"3188","LAYING"
"3189","LAYING"
"3190","LAYING"
"3191","LAYING"
"3192","LAYING"
"3193","LAYING"
"3194","LAYING"
"3195","LAYING"
"3196","WALKING"
"3197","WALKING"
"3198","WALKING"
"3199","WALKING"
"3200","WALKING"
"3201","WALKING"
"3202","WALKING"
"3203","WALKING"
"3204","WALKING"
"3205","WALKING"
"3206","WALKING"
"3207","WALKING"
"3208","WALKING"
"3209","WALKING"
"3210","WALKING"
"3211","WALKING"
"3212","WALKING"
"3213","WALKING"
"3214","WALKING"
"3215","WALKING"
"3216","WALKING"
"3217","WALKING"
"3218","WALKING"
"3219","WALKING"
"3220","WALKING"
"3221","WALKING"
"3222","WALKING"
"3223","WALKING"
"3224","WALKING"
"3225","WALKING"
"3226","WALKING"
"3227","WALKING"
"3228","WALKING"
"3229","WALKING"
"3230","WALKING"
"3231","WALKING"
"3232","WALKING"
"3233","WALKING"
"3234","WALKING"
"3235","WALKING"
"3236","WALKING"
"3237","WALKING"
"3238","WALKING"
"3239","WALKING"
"3240","WALKING"
"3241","WALKING"
"3242","WALKING"
"3243","WALKING"
"3244","WALKING_DOWNSTAIRS"
"3245","WALKING_DOWNSTAIRS"
"3246","WALKING_DOWNSTAIRS"
"3247","WALKING_DOWNSTAIRS"
"3248","WALKING_DOWNSTAIRS"
"3249","WALKING_DOWNSTAIRS"
"3250","WALKING_DOWNSTAIRS"
"3251","WALKING_UPSTAIRS"
"3252","WALKING_UPSTAIRS"
"3253","WALKING_UPSTAIRS"
"3254","WALKING_UPSTAIRS"
"3255","WALKING_UPSTAIRS"
"3256","WALKING_UPSTAIRS"
"3257","WALKING_UPSTAIRS"
"3258","WALKING_UPSTAIRS"
"3259","WALKING_UPSTAIRS"
"3260","WALKING_UPSTAIRS"
"3261","WALKING_UPSTAIRS"
"3262","WALKING_UPSTAIRS"
"3263","WALKING_UPSTAIRS"
"3264","WALKING_UPSTAIRS"
"3265","WALKING_UPSTAIRS"
"3266","WALKING_UPSTAIRS"
"3267","WALKING_UPSTAIRS"
"3268","WALKING_UPSTAIRS"
"3269","WALKING_UPSTAIRS"
"3270","WALKING_UPSTAIRS"
"3271","WALKING_UPSTAIRS"
"3272","WALKING_UPSTAIRS"
"3273","WALKING_UPSTAIRS"
"3274","WALKING_UPSTAIRS"
"3275","WALKING_UPSTAIRS"
"3276","WALKING_UPSTAIRS"
"3277","WALKING_UPSTAIRS"
"3278","WALKING_DOWNSTAIRS"
"3279","WALKING_DOWNSTAIRS"
"3280","WALKING_DOWNSTAIRS"
"3281","WALKING_DOWNSTAIRS"
"3282","WALKING_DOWNSTAIRS"
"3283","WALKING_DOWNSTAIRS"
"3284","WALKING_DOWNSTAIRS"
"3285","WALKING_DOWNSTAIRS"
"3286","WALKING_DOWNSTAIRS"
"3287","WALKING_DOWNSTAIRS"
"3288","WALKING_DOWNSTAIRS"
"3289","WALKING_DOWNSTAIRS"
"3290","WALKING_DOWNSTAIRS"
"3291","WALKING_DOWNSTAIRS"
"3292","WALKING_DOWNSTAIRS"
"3293","WALKING_DOWNSTAIRS"
"3294","WALKING_DOWNSTAIRS"
"3295","STANDING"
"3296","STANDING"
"3297","STANDING"
"3298","STANDING"
"3299","STANDING"
"3300","STANDING"
"3301","STANDING"
"3302","STANDING"
"3303","STANDING"
"3304","STANDING"
"3305","STANDING"
"3306","STANDING"
"3307","STANDING"
"3308","STANDING"
"3309","STANDING"
"3310","STANDING"
"3311","STANDING"
"3312","STANDING"
"3313","STANDING"
"3314","STANDING"
"3315","STANDING"
"3316","STANDING"
"3317","STANDING"
"3318","STANDING"
"3319","STANDING"
"3320","STANDING"
"3321","STANDING"
"3322","STANDING"
"3323","STANDING"
"3324","STANDING"
"3325","STANDING"
"3326","SITTING"
"3327","SITTING"
"3328","SITTING"
"3329","SITTING"
"3330","SITTING"
"3331","SITTING"
"3332","SITTING"
"3333","SITTING"
"3334","SITTING"
"3335","SITTING"
"3336","SITTING"
"3337","SITTING"
"3338","SITTING"
"3339","SITTING"
"3340","SITTING"
"3341","SITTING"
"3342","SITTING"
"3343","SITTING"
"3344","SITTING"
"3345","SITTING"
"3346","SITTING"
"3347","SITTING"
"3348","SITTING"
"3349","SITTING"
"3350","SITTING"
"3351","SITTING"
"3352","LAYING"
"3353","LAYING"
"3354","LAYING"
"3355","LAYING"
"3356","LAYING"
"3357","LAYING"
"3358","LAYING"
"3359","LAYING"
"3360","LAYING"
"3361","LAYING"
"3362","LAYING"
"3363","LAYING"
"3364","LAYING"
"3365","LAYING"
"3366","LAYING"
"3367","LAYING"
"3368","LAYING"
"3369","LAYING"
"3370","LAYING"
"3371","LAYING"
"3372","LAYING"
"3373","LAYING"
"3374","LAYING"
"3375","LAYING"
"3376","LAYING"
"3377","LAYING"
"3378","LAYING"
"3379","LAYING"
"3380","LAYING"
"3381","LAYING"
"3382","WALKING"
"3383","WALKING"
"3384","WALKING"
"3385","WALKING"
"3386","WALKING"
"3387","WALKING"
"3388","WALKING"
"3389","WALKING"
"3390","WALKING"
"3391","WALKING"
"3392","WALKING"
"3393","WALKING"
"3394","WALKING"
"3395","WALKING"
"3396","WALKING"
"3397","WALKING"
"3398","WALKING"
"3399","WALKING"
"3400","WALKING"
"3401","WALKING"
"3402","WALKING"
"3403","WALKING"
"3404","WALKING"
"3405","WALKING"
"3406","WALKING"
"3407","WALKING"
"3408","WALKING"
"3409","WALKING"
"3410","WALKING"
"3411","WALKING"
"3412","WALKING"
"3413","WALKING_DOWNSTAIRS"
"3414","WALKING_DOWNSTAIRS"
"3415","WALKING_DOWNSTAIRS"
"3416","WALKING_DOWNSTAIRS"
"3417","WALKING_DOWNSTAIRS"
"3418","WALKING_DOWNSTAIRS"
"3419","WALKING_DOWNSTAIRS"
"3420","WALKING_DOWNSTAIRS"
"3421","WALKING_DOWNSTAIRS"
"3422","WALKING_DOWNSTAIRS"
"3423","WALKING_DOWNSTAIRS"
"3424","WALKING_DOWNSTAIRS"
"3425","WALKING_DOWNSTAIRS"
"3426","WALKING_DOWNSTAIRS"
"3427","WALKING_DOWNSTAIRS"
"3428","WALKING_DOWNSTAIRS"
"3429","WALKING_DOWNSTAIRS"
"3430","WALKING_DOWNSTAIRS"
"3431","WALKING_DOWNSTAIRS"
"3432","WALKING_DOWNSTAIRS"
"3433","WALKING_DOWNSTAIRS"
"3434","WALKING_DOWNSTAIRS"
"3435","WALKING_DOWNSTAIRS"
"3436","WALKING_UPSTAIRS"
"3437","WALKING_UPSTAIRS"
"3438","WALKING_UPSTAIRS"
"3439","WALKING_UPSTAIRS"
"3440","WALKING_UPSTAIRS"
"3441","WALKING_UPSTAIRS"
"3442","WALKING_UPSTAIRS"
"3443","WALKING_UPSTAIRS"
"3444","WALKING_UPSTAIRS"
"3445","WALKING_UPSTAIRS"
"3446","WALKING_UPSTAIRS"
"3447","WALKING_UPSTAIRS"
"3448","WALKING_UPSTAIRS"
"3449","WALKING_UPSTAIRS"
"3450","WALKING_UPSTAIRS"
"3451","WALKING_UPSTAIRS"
"3452","WALKING_UPSTAIRS"
"3453","WALKING_UPSTAIRS"
"3454","WALKING_UPSTAIRS"
"3455","WALKING_UPSTAIRS"
"3456","WALKING_UPSTAIRS"
"3457","WALKING_UPSTAIRS"
"3458","WALKING_UPSTAIRS"
"3459","WALKING_UPSTAIRS"
"3460","WALKING_UPSTAIRS"
"3461","WALKING_UPSTAIRS"
"3462","WALKING_UPSTAIRS"
"3463","WALKING_UPSTAIRS"
"3464","WALKING_UPSTAIRS"
"3465","WALKING_UPSTAIRS"
"3466","WALKING_UPSTAIRS"
"3467","WALKING_UPSTAIRS"
"3468","WALKING_UPSTAIRS"
"3469","WALKING_UPSTAIRS"
"3470","STANDING"
"3471","STANDING"
"3472","STANDING"
"3473","STANDING"
"3474","STANDING"
"3475","STANDING"
"3476","STANDING"
"3477","STANDING"
"3478","STANDING"
"3479","STANDING"
"3480","STANDING"
"3481","STANDING"
"3482","STANDING"
"3483","STANDING"
"3484","STANDING"
"3485","STANDING"
"3486","STANDING"
"3487","STANDING"
"3488","STANDING"
"3489","STANDING"
"3490","STANDING"
"3491","STANDING"
"3492","STANDING"
"3493","STANDING"
"3494","STANDING"
"3495","STANDING"
"3496","STANDING"
"3497","STANDING"
"3498","STANDING"
"3499","STANDING"
"3500","SITTING"
"3501","SITTING"
"3502","SITTING"
"3503","SITTING"
"3504","SITTING"
"3505","SITTING"
"3506","SITTING"
"3507","SITTING"
"3508","SITTING"
"3509","SITTING"
"3510","SITTING"
"3511","SITTING"
"3512","SITTING"
"3513","SITTING"
"3514","SITTING"
"3515","SITTING"
"3516","SITTING"
"3517","SITTING"
"3518","SITTING"
"3519","SITTING"
"3520","SITTING"
"3521","SITTING"
"3522","SITTING"
"3523","SITTING"
"3524","SITTING"
"3525","SITTING"
"3526","LAYING"
"3527","LAYING"
"3528","LAYING"
"3529","LAYING"
"3530","LAYING"
"3531","LAYING"
"3532","LAYING"
"3533","LAYING"
"3534","LAYING"
"3535","LAYING"
"3536","LAYING"
"3537","LAYING"
"3538","LAYING"
"3539","LAYING"
"3540","LAYING"
"3541","LAYING"
"3542","LAYING"
"3543","LAYING"
"3544","LAYING"
"3545","LAYING"
"3546","LAYING"
"3547","LAYING"
"3548","LAYING"
"3549","LAYING"
"3550","LAYING"
"3551","LAYING"
"3552","LAYING"
"3553","LAYING"
"3554","LAYING"
"3555","LAYING"
"3556","LAYING"
"3557","LAYING"
"3558","WALKING"
"3559","WALKING"
"3560","WALKING"
"3561","WALKING"
"3562","WALKING"
"3563","WALKING"
"3564","WALKING"
"3565","WALKING"
"3566","WALKING"
"3567","WALKING"
"3568","WALKING"
"3569","WALKING"
"3570","WALKING"
"3571","WALKING"
"3572","WALKING"
"3573","WALKING"
"3574","WALKING"
"3575","WALKING"
"3576","WALKING"
"3577","WALKING"
"3578","WALKING"
"3579","WALKING"
"3580","WALKING"
"3581","WALKING"
"3582","WALKING"
"3583","WALKING"
"3584","WALKING"
"3585","WALKING_DOWNSTAIRS"
"3586","WALKING_DOWNSTAIRS"
"3587","WALKING_DOWNSTAIRS"
"3588","WALKING_DOWNSTAIRS"
"3589","WALKING_DOWNSTAIRS"
"3590","WALKING_DOWNSTAIRS"
"3591","WALKING_DOWNSTAIRS"
"3592","WALKING_DOWNSTAIRS"
"3593","WALKING_DOWNSTAIRS"
"3594","WALKING_DOWNSTAIRS"
"3595","WALKING_DOWNSTAIRS"
"3596","WALKING_DOWNSTAIRS"
"3597","WALKING_DOWNSTAIRS"
"3598","WALKING_DOWNSTAIRS"
"3599","WALKING_DOWNSTAIRS"
"3600","WALKING_DOWNSTAIRS"
"3601","WALKING_DOWNSTAIRS"
"3602","WALKING_DOWNSTAIRS"
"3603","WALKING_DOWNSTAIRS"
"3604","WALKING_DOWNSTAIRS"
"3605","WALKING_DOWNSTAIRS"
"3606","WALKING_DOWNSTAIRS"
"3607","WALKING_DOWNSTAIRS"
"3608","WALKING_DOWNSTAIRS"
"3609","WALKING_DOWNSTAIRS"
"3610","WALKING_DOWNSTAIRS"
"3611","WALKING_UPSTAIRS"
"3612","WALKING_UPSTAIRS"
"3613","WALKING_UPSTAIRS"
"3614","WALKING_UPSTAIRS"
"3615","WALKING_UPSTAIRS"
"3616","WALKING_UPSTAIRS"
"3617","WALKING_UPSTAIRS"
"3618","WALKING_UPSTAIRS"
"3619","WALKING_UPSTAIRS"
"3620","WALKING_UPSTAIRS"
"3621","WALKING_UPSTAIRS"
"3622","WALKING_UPSTAIRS"
"3623","WALKING_UPSTAIRS"
"3624","WALKING_UPSTAIRS"
"3625","WALKING_UPSTAIRS"
"3626","WALKING_UPSTAIRS"
"3627","WALKING_UPSTAIRS"
"3628","WALKING_UPSTAIRS"
"3629","WALKING_UPSTAIRS"
"3630","WALKING_UPSTAIRS"
"3631","WALKING_UPSTAIRS"
"3632","WALKING_UPSTAIRS"
"3633","WALKING_UPSTAIRS"
"3634","WALKING_UPSTAIRS"
"3635","WALKING_UPSTAIRS"
"3636","STANDING"
"3637","STANDING"
"3638","STANDING"
"3639","STANDING"
"3640","STANDING"
"3641","STANDING"
"3642","STANDING"
"3643","STANDING"
"3644","STANDING"
"3645","STANDING"
"3646","STANDING"
"3647","STANDING"
"3648","STANDING"
"3649","STANDING"
"3650","STANDING"
"3651","STANDING"
"3652","STANDING"
"3653","STANDING"
"3654","STANDING"
"3655","STANDING"
"3656","STANDING"
"3657","STANDING"
"3658","STANDING"
"3659","STANDING"
"3660","STANDING"
"3661","STANDING"
"3662","STANDING"
"3663","STANDING"
"3664","SITTING"
"3665","SITTING"
"3666","SITTING"
"3667","SITTING"
"3668","SITTING"
"3669","SITTING"
"3670","SITTING"
"3671","SITTING"
"3672","SITTING"
"3673","SITTING"
"3674","SITTING"
"3675","SITTING"
"3676","SITTING"
"3677","SITTING"
"3678","SITTING"
"3679","SITTING"
"3680","SITTING"
"3681","SITTING"
"3682","SITTING"
"3683","SITTING"
"3684","SITTING"
"3685","SITTING"
"3686","SITTING"
"3687","LAYING"
"3688","LAYING"
"3689","LAYING"
"3690","LAYING"
"3691","LAYING"
"3692","LAYING"
"3693","LAYING"
"3694","LAYING"
"3695","LAYING"
"3696","LAYING"
"3697","LAYING"
"3698","LAYING"
"3699","LAYING"
"3700","LAYING"
"3701","LAYING"
"3702","LAYING"
"3703","LAYING"
"3704","LAYING"
"3705","LAYING"
"3706","LAYING"
"3707","LAYING"
"3708","LAYING"
"3709","LAYING"
"3710","LAYING"
"3711","LAYING"
"3712","LAYING"
"3713","LAYING"
"3714","LAYING"
"3715","WALKING"
"3716","WALKING"
"3717","WALKING"
"3718","WALKING"
"3719","WALKING"
"3720","WALKING"
"3721","WALKING"
"3722","WALKING"
"3723","WALKING"
"3724","WALKING"
"3725","WALKING"
"3726","WALKING"
"3727","WALKING"
"3728","WALKING"
"3729","WALKING"
"3730","WALKING"
"3731","WALKING"
"3732","WALKING"
"3733","WALKING"
"3734","WALKING"
"3735","WALKING"
"3736","WALKING"
"3737","WALKING"
"3738","WALKING"
"3739","WALKING"
"3740","WALKING"
"3741","WALKING"
"3742","WALKING"
"3743","WALKING"
"3744","WALKING"
"3745","WALKING_DOWNSTAIRS"
"3746","WALKING_DOWNSTAIRS"
"3747","WALKING_DOWNSTAIRS"
"3748","WALKING_DOWNSTAIRS"
